frame_id,timestamp_ms,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,detected
238,7941,-2.8275,-0.0982,10.3570,10.0139,2.8225,-1.2296,0.766,1
239,7974,-2.8290,-0.0983,10.3625,10.0234,2.8250,-1.2321,0.766,1
240,8008,-2.8223,-0.0983,10.3669,10.0320,2.8241,-1.2345,0.764,1
241,8041,-2.8232,-0.0984,10.3703,10.0392,2.8238,-1.2367,0.765,1
242,8074,-2.8239,-0.0984,10.3728,10.0446,2.8238,-1.2385,0.765,1
243,8108,-2.8244,-0.0984,10.3747,10.0486,2.8240,-1.2398,0.766,1
244,8141,-2.8248,-0.0984,10.3761,10.0512,2.8244,-1.2408,0.766,1
245,8174,-2.8251,-0.0984,10.3771,10.0528,2.8248,-1.2414,0.766,1
246,8208,-2.8253,-0.0984,10.3779,10.0536,2.8251,-1.2418,0.766,1
247,8241,-2.8255,-0.0984,10.3785,10.0538,2.8254,-1.2420,0.765,1
248,8274,-2.8213,-0.0944,10.3487,10.0408,2.8238,-1.2403,0.764,1
249,8308,-2.8114,-0.0942,10.3266,10.0218,2.8183,-1.2367,0.762,1
250,8341,-2.7991,-0.0940,10.3104,10.0016,2.8091,-1.2323,0.761,1
251,8375,-2.7958,-0.0939,10.2983,9.9830,2.8013,-1.2279,0.761,1
252,8408,-2.7934,-0.0938,10.2893,9.9673,2.7952,-1.2241,0.761,1
253,8441,-2.7761,-0.0938,10.2830,9.9552,2.7840,-1.2211,0.761,1
254,8475,-2.7594,-0.0937,10.2790,9.9469,2.7696,-1.2189,0.760,1
255,8508,-2.7586,-0.0937,10.2759,9.9415,2.7598,-1.2175,0.760,1
256,8541,-2.7580,-0.0936,10.2736,9.9385,2.7539,-1.2166,0.760,1
257,8575,-2.7344,-0.0936,10.2728,9.9375,2.7408,-1.2162,0.760,1
258,8608,-2.7150,-0.0936,10.2729,9.9381,2.7243,-1.2163,0.760,1
259,8641,-2.7035,-0.0936,10.2733,9.9396,2.7088,-1.2166,0.762,1
260,8675,-2.6844,-0.0935,10.2744,9.9419,2.6912,-1.2172,0.761,1
261,8708,-2.6846,-0.0936,10.2752,9.9442,2.6804,-1.2178,0.762,1
262,8742,-2.6655,-0.0935,10.2765,9.9467,2.6666,-1.2184,0.761,1
263,8775,-2.6350,-0.0935,10.2786,9.9494,2.6455,-1.2191,0.763,1
264,8808,-2.6201,-0.0935,10.2807,9.9522,2.6258,-1.2199,0.761,1
265,8842,-2.6013,-0.0935,10.2829,9.9550,2.6058,-1.2206,0.760,1
266,8875,-2.6017,-0.0935,10.2846,9.9575,2.5941,-1.2213,0.761,1
267,8908,-2.5829,-0.0935,10.2866,9.9598,2.5802,-1.2219,0.759,1
268,8942,-2.5488,-0.0935,10.2892,9.9623,2.5580,-1.2226,0.760,1
269,8975,-2.5339,-0.0935,10.2918,9.9648,2.5378,-1.2233,0.761,1
270,9009,-2.4694,-0.0934,10.2959,9.9680,2.4982,-1.2242,0.766,1
271,9042,-2.4701,-0.0935,10.2989,9.9713,2.4725,-1.2250,0.768,1
272,9075,-2.4407,-0.0895,10.2725,9.9618,2.4450,-1.2243,0.766,1
273,9109,-2.4201,-0.0932,10.2829,9.9593,2.4199,-1.2232,0.764,1
274,9142,-2.3923,-0.0893,10.2621,9.9484,2.3937,-1.2217,0.763,1
275,9175,-2.3621,-0.0892,10.2473,9.9346,2.3656,-1.2190,0.763,1
276,9209,-2.3595,-0.0891,10.2363,9.9205,2.3481,-1.2160,0.763,1
277,9242,-2.3236,-0.0890,10.2292,9.9084,2.3240,-1.2132,0.762,1
278,9275,-2.2921,-0.0889,10.2248,9.8991,2.2967,-1.2109,0.762,1
279,9309,-2.2612,-0.0888,10.2224,9.8929,2.2672,-1.2094,0.763,1
280,9342,-2.2307,-0.0888,10.2216,9.8895,2.2366,-1.2085,0.764,1
281,9376,-2.2305,-0.0888,10.2210,9.8881,2.2185,-1.2081,0.764,1
282,9409,-2.1890,-0.0887,10.2217,9.8885,2.1916,-1.2081,0.763,1
283,9442,-2.1553,-0.0887,10.2233,9.8903,2.1615,-1.2085,0.764,1
284,9476,-2.1254,-0.0887,10.2254,9.8931,2.1308,-1.2092,0.764,1
285,9509,-2.0786,-0.0847,10.1992,9.8841,2.0924,-1.2085,0.763,1
286,9542,-2.0746,-0.0846,10.1796,9.8695,2.0673,-1.2059,0.764,1
287,9576,-2.0455,-0.0844,10.1657,9.8537,2.0414,-1.2026,0.763,1
288,9609,-2.0136,-0.0843,10.1562,9.8392,2.0133,-1.1993,0.761,1
289,9642,-1.9787,-0.0842,10.1499,9.8275,1.9823,-1.1966,0.761,1
290,9676,-1.8925,-0.0841,10.1476,9.8197,1.9269,-1.1947,0.769,1
291,9709,-1.8921,-0.0841,10.1458,9.8150,1.8913,-1.1934,0.771,1
292,9743,-1.8622,-0.0841,10.1452,9.8129,1.8583,-1.1929,0.767,1
293,9776,-1.8251,-0.0840,10.1457,9.8129,1.8240,-1.1928,0.765,1
